Name,Price,Color,Storage,Stars,Rating Score,Display,RAM,Battery,Back Camera,Release Date,SIM Support,Phone Dimensions,Phone Weight,Operating System,Screen Size,Screen Resolution,Screen Type,Screen Protection,Internal Memory,Card Slot,Processor,GPU,Type,Front Camera,Front Flash Light,Front Video Recording,Back Flash Light,Back Video Recording,Bluetooth,3G,4G/LTE,5G,Radio,WiFi,NFC,img_URL,brand,Popularity,RepairCost,Resale_value,Parts_availability
Xiaomi Redmi Note 13,"49,499","Ocean Sunset,Ice Blue,Mint Green,Midnight Black","128GB - 8GB RAM,256GB - 8GB RAM",5,89 Ratings ,6.67 Inches,"6GB, 8GB (Expandable storage up to 1TB)",5000 mAh,108MP+8MP+2MP,1/26/2024,SIM 1 + Hybrid (SIM or MicroSD),162.2 x 75.5 x 7.97 mm,188.5g,MIUI 14,6.67 Inches,2400 x 1080,AMOLED,Corning Gorilla Glass 3,"128GB, 256GB",no Data,Octa-core,Adreno 610,5000mAh,16MP,no Data,"1080p at 30fps, 720p at 30fps",Yes,"1080p at 30fps, 720p at 30fps",Yes,Yes,Yes,No,unspecified,Yes,Yes,https://images.priceoye.pk/xiaomi-redmi-note-13-pakistan-priceoye-47be2-500x500.webp,Xiaomi,70,14578.43596,42074.15,40
VGO TEL New 22,"17,399","Green,Black",128GB - 4GB RAM,5,32 Ratings ,6.5 Inches,4 GB + (3 GB Extended RAM),5000 mAh,13MP Triple AI Camera,12/27/2022,Dual 4G Sim,164.7 x 76.3 x 8.9 mm,no Data,Android 12,6.5 Inches,720×1600 pixel,HD+ IPS (Drop Notch,no Data,128 GB,Triple Card Slot,Mediatek Helio G25,PowerVR GE8320,5000mAh built-in,8 MP,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,https://images.priceoye.pk/vgo-tel-new-22-pakistan-priceoye-vpune-500x500.webp,VGO,70,5446.56623,14441.17,70
Vivo V29e,"80,499","Black,Gold",256GB - 8GB RAM,5,10 Ratings ,6.7 Inches,8/12 GB,4800 mAh,64 MP + 8 MP,8/11/2023,"Dual Sim, Dual Standby (Nano-SIM)",no Data,no Data,Android 13 OS,6.7 Inches,1080 x 2400 Pixels,AMOLED Capacitive Touchscreen,no Data,256 GB,no Data,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Adreno 619,4800 mAh,50 MP,No,Yes,Yes,1080p@30fps,Yes,Yes,Yes,Yes,No,Yes,No,https://images.priceoye.pk/vivo-v29e-pakistan-priceoye-ab1jc-500x500.webp,Vivo,85,14218.95635,73656.585,80
itel P55 Plus,"31,499","Green,Black",256GB - 8GB RAM,5, 1 Ratings ,6.6 Inches,8 GB,5000 mAh,50 MP + 0.08 MP,1/26/2024,"Dual SIM (Nano-SIM, dual stand-by)",8.0 mm thickness,187 g,Android 13,6.6 Inches,720 x 1612 Pixels,"IPS LCD, 90Hz",no Data,128/ 256 GB,"microSD Card, (supports up to 2TB)",Unisoc T606,Mali-G57 MP1,5000 mAh,8 MP,no Data,Yes,Yes,Yes,Yes,Yes,Yes,No,no Data,Yes,Yes (market/region dependent),https://images.priceoye.pk/itel-p55-plus-pakistan-priceoye-0zbay-500x500.webp,itel,70,9604.184423,26774.15,40
Itel P40 4G,"20,199","Force Black,Luxurious Gold,Dreamy Blue","64GB - 4GB RAM,128GB - 4GB RAM",5,49 Ratings ,6.6 Inches,4 GB,6000 mAh,13 MP + VGA,6/15/2023,"Dual Sim, Dual Standby",no Data,no Data,Android 12 Go edition,6.6 Inches,720 x 1612 Pixels,HD+ IPS Waterdrop,no Data,64 GB,Yes,SC9863A OctaCore,PowerVR GE8322,6000 mAh,5 MP,No,Yes,Yes,Yes,Yes,Yes,Yes,No,no Data,Yes,No,https://images.priceoye.pk/itel-p40-4g-pakistan-priceoye-yt0lj-500x500.webp,Itel,70,6290.446384,16967.16,70
Motorola Moto G84 5G,"71,999","Midnight Blue,Marshmallow Blue,Viva Magenta",256GB - 12GB RAM,5,11 Ratings ,6.5 Inches,12 GB,5000 mAh,50 MP + 8 MP,8/24/2023,"Nano-SIM, eSIM",160 x 74.4 x 7.6 mm,166.8 g,Android 13,6.5 Inches,1080 x 2400 Pixels,"P-OLED, 1B colors, 120Hz, 1300 nits (peak)",no Data,256 GB,microSDXC (uses shared SIM slot),Qualcomm Snapdragon 695 5G,Adreno 619,5000 mAh,16 MP,no Data,1080p@30fps,Yes,1080p@30/60fps,Yes,Yes,Yes,Yes,FM radio (market/region dependent),Yes,Yes (market/region dependent),https://images.priceoye.pk/motorola-moto-g84-5g-pakistan-priceoye-kst47-500x500.webp,Motorola,70,20270.52923,60479.16,70
Calme 4g Star,"8,699","Black,Blue Gold,Light Blue,White,Green Black",16GB - 2GB RAM,5,3 Ratings ,2.8 Inches,2 GB,4000 mAh,Digital Camera,10/30/2023,Dual Sim,no Data,no Data,Proprietary OS,2.8 Inches,no Data,Touch Screen,no Data,16 GB,Yes,MTK,no Data,4000 mAh,Digital Camera,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,no Data,No,https://images.priceoye.pk/calme-4g-star-pakistan-priceoye-yso7f-500x500.webp,Calme,70,2766.788884,7307.16,70
Tecno Pova 5 Pro,"37,999","Dark Illusion,Fantasy Silver",256GB - 8GB RAM,5,58 Ratings ,"6.78 inches, 109.2 cm2 (~84.7% screen-to-body ratio)",8GB,5000 mAh,"50 MP, f/1.6, (wide), PDAF 0.08 MP, (depth)",11/8/2023,"Dual SIM (Nano-SIM, dual stand-by)",168.5 x 76.5 x 9 mm (6.63 x 3.01 x 0.35 in),212 g (7.48 oz),"Android 13, HIOS 13","6.78 inches, 109.2 cm2 (~84.7% screen-to-body ratio)",1080 x 2460 pixels (~396 ppi density),"IPS LCD, 120Hz, 580 nits (peak)",no Data,256GB 8GB RAM,microSDXC (dedicated slot),Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),Mali-G57 MC2,"Li-Po 5000 mAh, non-removable","16 MP, f/2.0, (wide)",LED flash,1080p@30fps,Dual LED flash,"1440p@30fps, 1080p@30fps",Yes,Yes,Yes,Yes,FM radio,Yes,no Data,https://images.priceoye.pk/tecno-pova-5-pro-pakistan-priceoye-1v31v-500x500.webp,Tecno,70,11443.56692,31919.16,70
Oppo A58,"44,699","Glowing Black,Green",128GB - 8GB RAM,5,16 Ratings ,6.56 Inches,8 GB,5000 mAh,50 MP + 2 MP,11/8/2022,"Dual SIM (Nano-SIM, dual stand-by)",163.8 x 75 x 8 mm,188 g,"Android 12, ColorOS 12.1",6.56 Inches,720 x 1612 Pixels,"IPS LCD, 90Hz, 480 nits (typ), 600 nits (HBM)",no Data,128 GB,microSDXC,MediaTek Helio G85,Mali-G57 MC2,5000 mAh,8 MP,No,1080p@30fps,Yes,1080p@30fps,Yes,Yes,Yes,No,No,Yes,No,https://images.priceoye.pk/oppo-a58-pakistan-priceoye-7zhfw-500x500.webp,Oppo,85,8818.62273,40452.595,80
Samsung Galaxy A54 5G,"122,499","Lime,Awesome Violet,Graphite,White","128GB - 8GB RAM,256GB - 8GB RAM",5,84 Ratings ,6.4 inches,8 GB,5000 mAh,12MP + 50MP + 5MP,3/15/2023,"Single SIM (Nano-SIM, eSIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)",158.2 x 76.7 x 8.2 mm,202 g,"Android 13, One UI 5.1",6.4 inches,1080 x 2340 pixels,"Super AMOLED, 120Hz, HDR10+, 1000 nits (HBM)",Corning Gorilla Glass 5,128 GB,microSDXC (uses shared SIM slot),Exynos 1380,Mali-G68 MP5,"Li-Po 5000 mAh, non-removable",32 MP,No,"4K@30fps, 1080p@30/60fps",Yes,"4K@30fps, 1080p@30/60fps, 720p@480fps",Yes,Yes,Yes,Yes,No,Yes,Yes (market/region dependent),https://images.priceoye.pk/samsung-galaxy-a54-5g-pakistan-priceoye-wmmpy-500x500.webp,Samsung,90,18669.38942,119436.525,90
Motorola Moto G54 5G,"47,899","Midnight Blue,Mint Green,Glacier Blue,Indigo Blue",256GB - 8GB RAM,5,26 Ratings ,6.5 Inches,8 GB,5000 mAh,50 MP + 2 MP,1/13/2024,"Nano-SIM, eSIM or Hybrid Dual SIM",161.56 x 73.82 x 7.99mm,177g,Android 13,6.5 Inches,1080 x 2400 Pixels,IPS LCD,no Data,256 GB,Yes,Mediatek Dimensity 7020,IMG BXM-8-256,5000 mAh,16 MP,no Data,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://images.priceoye.pk/motorola-moto-g54-pakistan-priceoye-mxlga-500x500.webp,Motorola,70,14151.41873,40714.15,40
VGO TEL New 24,"18,349","Light Green,Black",128GB - 4GB RAM,5,68 Ratings ,6.582 Inches,128GB,5000 mAh,50MP,12/20/2023,Hybrid dual sim,no Data,no Data,Android 13,6.582 Inches,720 x1612 pixels,IPS LCD,no Data,4GB + 4GB Extended Ram,microSD,Mediatek Helio G35,no Data,5000mAh,13 MP,no Data,Yes,LED flash,Yes,Yes,Yes,Yes,no Data,unspecified,Yes,No,https://images.priceoye.pk/vgotel-new-24-pakistan-priceoye-3v4at-500x500.webp,VGO,70,5733.896653,15413.16,70
Samsung Galaxy A13,"57,199","Awesome Black,Awesome White,Awesome Blue,Awesome Peach","64GB - 4GB RAM,128GB - 4GB RAM",5,375 Ratings ,6.6 Inches,4 GB,5000 mAh,50 MP + 5 MP + 2 MP + 2 MP,4/26/2022,"Dual Sim, Dual Standby (Nano-SIM)",165.1 x 76.4 x 8.8 mm,195 g,Android 12 OS,6.6 Inches,1080 x 2408 Pixels,"TFT display, 16M Colors, Multitouch",Corning Gorilla Glass 5,64/128 GB,microSDXC (dedicated slot),Exynos 850,Mali-G52 MP1,"(Li-Po Non removable), 5000 mAh",8 MP,No,1080p@30fps,Yes,1080p@30fps,Yes,Yes,Yes,No,No,Yes,No,https://images.priceoye.pk/samsung-galaxy-a13-pakistan-priceoye-kr8rm-500x500.webp,Samsung,90,10872.24292,55197.035,90
Samsung Galaxy A24 4G,"56,999","Black,Light Green,Silver","128GB - 8GB RAM,128GB - 6GB RAM",5,117 Ratings ,6.5 inches,6 GB / 8 GB,5000 mAh,50 MP + 2 MP + 2 MP,4/19/2023,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",6.38 x 3.06 x 0.33,195 g,"Android 13, One UI 5.1",6.5 inches,1080 x 2340 pixels,"Super AMOLED, 90Hz, 1000 nits (peak)",no Data,128 GB,microSDXC (dedicated slot),Mediatek MT8781 Helio G99,Mali-G57 MC2,"Li-Po 5000 mAh, non-removable",13 MP,No,1080p@30fps,Yes,1080p@30fps,Yes,Yes,Yes,No,FM radio,Yes,no Data,https://images.priceoye.pk/samsung-galaxy-a24-4g-pakistan-priceoye-f5uyw-500x500.webp,Samsung,90,10840.80423,55574.025,90
Xsmart Core X,"20,899","Green,Blue,White",64GB - 4GB RAM,5, 1 Ratings ,6.79 Inches,4 GB,7000 mAh,13MP Triple Camera,1/4/2024,"Dual SIM + Micro Sim, dual stand-by",no Data,no Data,Android,6.79 Inches,720 x 1600 pixels,IPS LCD,no Data,64GB,no Data,Octa Core,no Data,7000mAh,8 MP,no Data,no Data,no Data,Yes,Yes,Yes,Yes,No,Yes,Yes,No,https://images.priceoye.pk/xsmart-core-x-pakistan-priceoye-3w98i-500x500.webp,Xsmart,70,6500.002961,17764.15,40
Tecno Spark 20,"27,499","Magic Skin,Gravity Black,Neon Gold,Cyber White,Magic Skin 2.0 Blue","128GB - 8GB RAM,256GB - 8GB RAM",5,89 Ratings ,6.6 inches,8GB,5000 mAh,"Dual Camera: 50 MP, f/1.6, (wide), PDAF + 0.08 MP (auxiliary lens)",12/20/2023,"Dual SIM (Nano-SIM, dual stand-by)",163.7 x 75.6 x 8.5 mm (6.44 x 2.98 x 0.33 in),no Data,Android 13,6.6 inches,720 x 1612 pixels,"IPS LCD, 90Hz",no Data,256 GB,microSDXC,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),Mali-G52 MC2,"5000 mAh, non-removable",32 MP,Dual-LED flash,1080p@30fps,Dual-LED flash,"1440p@30fps, 1080p@30fps",Yes,Yes,Yes,no Data,FM radio,Yes,No,https://images.priceoye.pk/tecno-spark-20-pakistan-priceoye-13sf1-500x500.webp,Tecno,70,8448.025961,23099.16,70
Poco M6 Pro,"84,799","Black,Blue,Purple",512GB - 12GB RAM,5,8 Ratings ,6.67,12GB,5000 mAh,64MP+8MP+2MP triple camera,1/18/2024,"SIM1 + Hybrid* (SIM or MicroSD), supports dual 4G",161.1x 74.95x 7.98 mm,179g,MIUI 14,6.67,2400 x 1080,AMOLED DotDisplay,no Data,512GB,microSDXC,Helio G99-Ultra,ARM Mali-G57 MC2,5000mAh,16MP,no Data,1080p 1920×1080 at 30fps/60fps720p 1280×720 at 30fps,LED flash,"1080p 1920×1080 at 30fps/60fps720p 1280×720 at 30fpsSlow motion video: 120fps, 720p",Yes,Yes,Yes,No,No,Yes,Yes,https://images.priceoye.pk/poco-m6-pakistan-priceoye-0fufw-500x500.webp,Poco,70,23248.02092,72079.15,40
Nokia 2660 Flip,"15,899","Black,Red,Blue,Green,Pink",STANDARD,5,31 Ratings ,2.8 inches,48 MB,1450 mAh,0.3 MP,7/12/2022,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",-,123 g,Proprietary OS,2.8 inches,240 x 320 pixels,TFT LCD,No,128  MB,microSDHC,Unisoc T107,no Data,"Li-Ion 1450 mAh, removable",No,No,no Data,Yes,Yes,Yes,Yes,Yes,No,Wireless FM radio,No,No,https://images.priceoye.pk/nokia-2660-flip-pakistan-priceoye-r92dx-500x500.webp,Nokia,70,4990.766423,13196.17,70
Realme C51,"23,199","Carbon Black,Mint Green","64GB - 4GB RAM,64GB - 3GB RAM,128GB - 4GB RAM",5,170 Ratings ,6.74 Inches,4 GB,5000 mAh,50 MP + 0.08 MP,7/24/2023,"Dual SIM (Nano-SIM, dual stand-by)",167.2 x 76.7 x 8 mm,186 g,"Android 13, Realme UI T",6.74 Inches,720 x 1600 Pixels,"IPS LCD, 90Hz, 560 nits (peak)",no Data,64 GB,Yes,Unisoc Tiger T612,Mali-G57,"Li-Po 5000 mAh, non-removable",5 MP,No,720p@30fps,Yes,1080p@30fps,Yes,Yes,Yes,no Data,no Data,Yes,no Data,https://images.priceoye.pk/realme-c51-pakistan-priceoye-13ht7-500x500.webp,Realme,70,7184.56523,19487.16,70
VNUS SE22,"20,799","Blue,Grey",64GB - 3GB RAM,5,9 Ratings ,6.6 Inches,3 GB,4500 mAh,13 MP,2/10/2023,Dual SIM,no Data,no Data,no Data,6.6 Inches,no Data,no Data,no Data,64 GB,no Data,no Data,no Data,4500 mAh,5 MP,No,Yes,Yes,Yes,Yes,Yes,Yes,No,no Data,Yes,no Data,https://images.priceoye.pk/vnus-se22-pakistan-priceoye-9c4zz-500x500.webp,VNUS,70,6470.100923,17471.16,70
